SubjectsBirthLocation,GenderBinary,Heightin,Weightlbs,waistcircumference
Alabama,0,64.70833333333333,151.125,871.6944444444445
Alabama,1,70.47826086956522,188.9891304347826,936.2826086956521
Alaska,0,62.0,135.0,907.0
Alaska,1,69.28571428571429,174.28571428571428,940.0
American Samoa,0,65.2,177.6,941.4
American Samoa,1,69.66666666666667,176.33333333333334,844.3333333333334
Antigua and Barbuda,0,74.0,205.0,1050.0
Argentina,0,67.0,175.0,939.0
Arizona,0,64.82142857142857,143.03571428571428,869.4642857142857
Arizona,1,69.83928571428571,184.35714285714286,929.7678571428571
Arkansas,0,64.625,152.75,902.75
Arkansas,1,70.8695652173913,186.58695652173913,924.4782608695652
Azerbaijan,0,57.0,100.0,720.0
Bahamas,1,68.0,190.0,1027.0
Bangladesh,0,60.0,110.0,740.0
Barbados,0,67.0,155.0,824.0
Barbados,1,70.0,167.5,827.75
Belarus,1,67.0,190.0,980.0
Belgium,0,66.0,153.0,819.0
Belgium,1,72.0,185.0,918.5
Belize,1,73.5,262.5,1246.0
Bermuda,0,66.0,142.0,840.0
Bolivia,0,64.0,145.0,935.0
Bolivia,1,66.0,187.0,995.0
Bosnia and Herzegovina,0,65.0,140.0,816.0
Brazil,1,66.0,152.0,795.0
British Virgin Islands,1,71.0,185.0,877.0
Bulgaria,0,63.0,140.0,865.0
Burma,0,65.0,126.0,777.0
California,0,64.47402597402598,145.3896103896104,858.461038961039
California,1,69.7568493150685,187.12328767123287,941.5924657534247
Cambodia,1,66.0,125.0,677.0
Cameroon,0,62.0,129.0,792.0
Cameroon,1,72.0,206.0,870.0
Canada,0,63.0,180.0,1029.0
Canada,1,69.875,181.875,920.125
Cape Verde,1,77.0,212.0,920.0
Chile,0,67.0,131.0,791.0
China,0,62.8,125.6,767.0
China,1,69.33333333333333,146.33333333333334,789.6666666666666
Colombia,0,63.2,129.4,782.2
Colombia,1,66.875,175.75,940.375
Colorado,0,63.96296296296296,141.77777777777777,861.7037037037037
Colorado,1,70.25925925925925,184.55555555555554,912.7592592592592
Connecticut,0,65.125,148.0,842.875
Connecticut,1,69.85714285714286,196.92857142857142,972.6071428571429
Costa Rica,1,71.5,201.5,992.0
Cuba,1,68.75,191.25,989.75
Delaware,0,63.666666666666664,153.83333333333334,857.6666666666666
Delaware,1,71.18181818181819,197.0909090909091,952.9090909090909
Denmark,0,67.0,140.0,840.0
District of Columbia,0,65.5,154.625,844.5
District of Columbia,1,71.36363636363636,188.8181818181818,926.8181818181819
Dominica,0,66.0,145.0,810.0
Dominican Republic,0,63.833333333333336,145.66666666666666,878.3333333333334
Dominican Republic,1,70.27272727272727,185.0909090909091,928.3636363636364
Ecuador,0,62.0,148.0,829.0
Ecuador,1,68.5,166.5,935.5
Egypt,1,73.0,110.0,966.0
El Salvador,0,62.0,122.0,749.5
El Salvador,1,68.0,172.33333333333334,926.3333333333334
Ethiopia,1,66.0,144.0,811.0
Fiji,0,62.0,127.0,923.0
Florida,0,64.77333333333333,148.76,854.6666666666666
Florida,1,69.99259259259259,187.2,933.1851851851852
France,1,71.66666666666667,185.0,955.6666666666666
French Guiana,1,75.0,195.0,925.0
Georgia,0,64.73076923076923,148.71794871794873,859.2820512820513
Georgia,1,70.52173913043478,188.16304347826087,924.9782608695652
Germany,0,65.55263157894737,146.8684210526316,850.4736842105264
Germany,1,70.46296296296296,184.90740740740742,918.1111111111111
Ghana,0,69.0,150.0,734.0
Ghana,1,69.0,170.0,803.0
Grenada,0,63.5,130.0,757.5
Grenada,1,70.0,195.0,912.5
Guadalupe,1,74.0,224.0,1004.0
Guam,0,63.5,141.0,850.5
Guam,1,68.5,176.83333333333334,893.6666666666666
Guatemala,1,66.0,212.0,1036.0
Guyana,0,62.0,136.0,857.0
Guyana,1,70.875,182.0,894.5
Haiti,0,65.33333333333333,146.16666666666666,816.8333333333334
Haiti,1,70.16666666666667,185.66666666666666,948.3333333333334
Hawaii,0,64.15384615384616,149.0,866.2307692307693
Hawaii,1,70.125,188.0625,924.8125
Honduras,0,60.666666666666664,126.33333333333333,763.3333333333334
Honduras,1,71.0,174.0,819.0
Iceland,0,64.0,136.0,877.5
Idaho,0,65.75,161.25,897.0
Idaho,1,70.625,191.3125,969.1875
Illinois,0,64.81333333333333,148.30666666666667,861.76
Illinois,1,69.90780141843972,191.645390070922,957.2907801418439
India,0,63.0,135.0,778.0
India,1,67.2,164.6,915.2
Indiana,0,64.17647058823529,148.7058823529412,877.3529411764706
Indiana,1,70.29767441860466,193.37209302325581,973.0093023255814
Iowa,0,65.92307692307692,163.23076923076923,922.6923076923077
Iowa,1,70.76190476190476,190.21428571428572,933.7619047619048
Iran,0,64.0,185.0,1010.0
Iraq,1,65.5,150.0,885.0
Israel,0,64.0,110.5,700.5
Israel,1,71.0,210.0,982.0
Italy,0,64.5,146.0,921.0
Ivory Coast,1,66.0,173.0,897.0
Jamaica,0,66.19047619047619,156.38095238095238,848.3333333333334
Jamaica,1,73.14285714285714,187.92857142857142,904.5714285714286
Japan,0,64.6,157.4,870.8
Japan,1,70.0,178.0,876.1666666666666
Kansas,0,64.66666666666667,152.06666666666666,870.4
Kansas,1,70.58333333333333,191.58333333333334,950.125
Kentucky,0,63.6875,147.0,841.0
Kentucky,1,70.37735849056604,188.1320754716981,950.4716981132076
Kenya,0,63.0,145.0,947.0
Kenya,1,72.0,187.0,858.0
Korea,0,62.0,138.0,927.0
Laos,1,66.33333333333333,160.66666666666666,884.6666666666666
Lebanon,1,69.0,220.0,1099.0
Liberia,0,62.0,152.0,830.0
Liberia,1,67.6,174.8,883.4
Louisiana,0,64.73170731707317,150.17073170731706,857.1951219512196
Louisiana,1,70.22916666666667,189.35416666666666,938.59375
Maine,0,63.0,148.25,891.375
Maine,1,70.5,194.0,964.7
Maryland,0,65.23529411764706,143.0,839.7647058823529
Maryland,1,70.17460317460318,185.4126984126984,921.1746031746031
Massachusetts,0,64.16,146.16,880.56
Massachusetts,1,69.82758620689656,187.183908045977,935.8850574712644
Mexico,0,63.23529411764706,142.47058823529412,875.3529411764706
Mexico,1,67.36363636363636,174.72727272727272,938.3636363636364
Michigan,0,64.69117647058823,147.77941176470588,864.1764705882352
Michigan,1,70.375,191.4765625,954.578125
Micronesia,1,68.0,210.0,1049.5
Minnesota,0,65.41333333333333,148.92,859.32
Minnesota,1,70.664,189.896,948.976
Mississippi,0,64.72727272727273,155.9090909090909,893.4545454545455
Mississippi,1,70.64102564102564,202.64957264957266,992.6495726495726
Missouri,0,64.11764705882354,141.76470588235293,858.0
Missouri,1,70.44776119402985,186.28358208955223,936.8955223880597
Montana,0,64.0,134.33333333333334,821.6666666666666
Montana,1,69.88888888888889,190.22222222222223,968.3333333333334
Morocco,0,67.5,136.0,822.0
Morocco,1,68.0,152.0,892.0
Nebraska,0,65.44444444444444,138.77777777777777,804.7777777777778
Nebraska,1,70.72727272727273,184.63636363636363,928.3636363636364
Nepal,1,66.66666666666667,164.0,896.0
Netherlands,1,69.5,176.5,943.0
Nevada,0,65.2,152.1,845.4
Nevada,1,71.21428571428571,182.42857142857142,914.5714285714286
New Hampshire,0,65.0,157.25,913.25
New Hampshire,1,71.2,200.1,968.2
New Jersey,0,63.766666666666666,145.06666666666666,861.8333333333334
New Jersey,1,69.61016949152543,185.88135593220338,928.457627118644
New Mexico,0,65.75,147.75,845.5
New Mexico,1,69.76923076923077,188.0,954.4615384615385
New York,0,64.83962264150944,152.41509433962264,876.2452830188679
New York,1,69.72929936305732,186.55414012738854,935.6496815286624
New Zealand,1,71.0,180.0,930.0
Nicaragua,0,60.0,138.0,895.0
Nicaragua,1,68.0,183.0,960.3333333333334
Nigeria,1,70.0,184.75,873.75
North Carolina,0,65.26415094339623,153.75471698113208,863.0566037735849
North Carolina,1,69.84375,187.48958333333334,929.3020833333334
North Dakota,0,65.71428571428571,144.28571428571428,820.5714285714286
North Dakota,1,71.45454545454545,198.72727272727272,1001.4545454545455
Northern Mariana Islands,0,61.0,138.0,819.0
Ohio,0,64.90243902439025,150.6341463414634,877.6829268292682
Ohio,1,70.22772277227723,187.66336633663366,936.5742574257425
Oklahoma,0,64.6923076923077,146.07692307692307,866.4102564102565
Oklahoma,1,70.11538461538461,184.91758241758242,921.5714285714286
Oregon,0,64.7,150.3,871.4
Oregon,1,70.71875,196.625,988.03125
Palau,0,65.0,125.0,757.0
Palau,1,65.0,130.0,756.0
Panama,0,64.8,163.4,905.8
Panama,1,69.2,191.0,961.8
Paraguay,0,64.0,169.0,900.0
Pennsylvania,0,64.3076923076923,144.94230769230768,852.2115384615385
Pennsylvania,1,70.3875,187.9625,931.425
Peru,0,62.666666666666664,128.0,863.3333333333334
Peru,1,66.8,171.4,946.8
Philippines,0,61.111111111111114,127.38888888888889,833.6111111111111
Philippines,1,67.14285714285714,164.39285714285714,881.25
Poland,0,64.4,145.0,834.4
Portugal,1,67.75,166.25,889.0
Puerto Rico,0,63.05263157894737,143.26315789473685,865.578947368421
Puerto Rico,1,68.4927536231884,182.7536231884058,951.8405797101449
Rhode Island,0,61.0,120.0,702.0
Rhode Island,1,70.0,187.61111111111111,941.2222222222222
Romania,1,71.66666666666667,180.33333333333334,887.6666666666666
Russia,0,66.25,157.25,931.5
Russia,1,70.5,180.0,909.75
Saint Lucia,0,60.0,115.0,748.0
Senegal,1,74.0,205.0,902.0
Serbia,0,67.0,150.0,838.0
Sierra Leone,1,70.0,168.5,790.0
Singapore,1,71.0,180.0,907.0
South Africa,0,65.5,163.5,931.5
South Africa,1,69.5,186.0,927.5
South America,1,69.0,176.0,982.0
South Carolina,0,64.63793103448276,151.18965517241378,859.9310344827586
South Carolina,1,70.16504854368932,190.98058252427185,933.5339805825242
South Dakota,0,65.2,146.0,863.4
South Dakota,1,70.46341463414635,196.8780487804878,983.6341463414634
South Korea,0,63.625,138.5625,834.4375
South Korea,1,67.33333333333333,167.33333333333334,874.9333333333333
Sri Lanka,0,61.0,123.0,763.0
Sudan,0,68.0,147.0,757.0
Sudan,1,74.0,170.0,808.0
Syria,1,66.0,180.0,883.0
Taiwan,1,68.5,160.0,805.5
Tennessee,0,64.79166666666667,143.33333333333334,839.9583333333334
Tennessee,1,69.6,185.2,931.32
Texas,0,64.40310077519379,145.1860465116279,865.5658914728682
Texas,1,69.6044776119403,186.77238805970148,940.8283582089553
Thailand,0,62.0,124.33333333333333,781.6666666666666
Thailand,1,66.0,148.0,778.0
Togo,1,70.0,193.0,956.0
Trinidad and Tobago,0,65.66666666666667,149.0,838.6666666666666
Trinidad and Tobago,1,69.75,174.5,872.5
Turkey,0,63.0,119.5,729.0
US Virgin Islands,0,64.33333333333333,149.66666666666666,849.0
US Virgin Islands,1,72.5,195.5,934.0
Ukraine,0,63.5,134.0,795.5
Ukraine,1,71.6,181.4,922.6
United Kingdom,0,65.85714285714286,156.0,905.2857142857143
United Kingdom,1,72.5,158.25,820.0
United States,0,64.5,150.0,834.0
Utah,0,63.285714285714285,137.28571428571428,836.0
Utah,1,71.0952380952381,189.04761904761904,961.0
Venezuela,0,64.0,147.0,848.0
Vermont,0,63.25,131.75,783.0
Vermont,1,69.55555555555556,177.11111111111111,902.8888888888889
Vietnam,0,61.25,112.5,775.5
Vietnam,1,67.0,167.66666666666666,873.5555555555555
Virginia,0,64.61111111111111,148.8148148148148,868.7962962962963
Virginia,1,69.390625,188.28125,943.078125
Washington,0,64.75,145.5,844.1666666666666
Washington,1,70.38095238095238,187.9047619047619,934.3571428571429
West Virginia,0,63.72727272727273,137.45454545454547,827.0
West Virginia,1,70.8,186.66666666666666,928.0
Wisconsin,0,65.44444444444444,142.62222222222223,828.3777777777777
Wisconsin,1,70.9298245614035,197.52631578947367,969.7017543859649
Wyoming,0,62.333333333333336,125.66666666666667,768.0
Wyoming,1,70.0,213.25,1007.5
Zambia,0,63.0,150.0,876.0
